username	url	branch	created_at	updated_at	pushed_at
eunaJung01	https://github.com/eunaJung01/java-menu.git	eunaJung01	2022-12-17 08:32:44	2022-12-17 08:30:01	2022-12-17 08:41:02
ckn1070	https://github.com/ckn1070/java-menu.git	ckn1070	2022-12-17 04:01:03	2022-12-17 04:00:02	2022-12-17 08:57:16
godcoder-ohseungyun	https://github.com/godcoder-ohseungyun/java-menu.git	godcoder-ohseungyun	2022-12-17 04:00:17	2022-12-17 04:00:02	2022-12-17 08:55:34
kariskan	https://github.com/kariskan/java-menu.git	kariskan	2022-12-17 04:00:15	2022-12-17 04:00:02	2022-12-17 08:55:37
yoondgu	https://github.com/yoondgu/java-menu.git	yoondgu	2022-12-17 04:00:09	2022-12-17 04:00:02	2022-12-17 08:58:06
kiarakim	https://github.com/kiarakim/java-menu.git	kiarakim	2022-12-17 04:00:23	2022-12-17 04:00:02	2022-12-17 08:50:33
sangho-jeon	https://github.com/sangho-jeon/java-menu.git	sangho-jeon	2022-12-17 04:00:42	2022-12-17 04:00:02	2022-12-17 08:39:05
JH-web115	https://github.com/JH-web115/java-menu.git	JH-web115	2022-12-17 04:00:18	2022-12-17 04:00:02	2022-12-17 08:40:09
yeramcho	https://github.com/yeramcho/java-menu.git	yeramcho	2022-12-17 04:00:16	2022-12-17 04:00:02	2022-12-17 08:32:10
hyena0608	https://github.com/hyena0608/java-menu.git	hyena0608	2022-12-17 04:00:42	2022-12-17 04:00:02	2022-12-17 08:40:18
Gwonwoo-Nam	https://github.com/Gwonwoo-Nam/java-menu.git	Gwonwoo-Nam	2022-12-17 04:01:07	2022-12-17 06:38:38	2022-12-17 08:50:02
junpakPark	https://github.com/junpakPark/java-menu.git	junpakPark	2022-12-17 04:00:26	2022-12-17 04:00:02	2022-12-17 08:45:00
woo-chang	https://github.com/woo-chang/java-menu.git	woo-chang	2022-12-17 04:00:12	2022-12-17 04:00:02	2022-12-17 08:27:10
SproutMJ	https://github.com/SproutMJ/java-menu.git	SproutMJ	2022-12-17 04:00:23	2022-12-17 04:00:02	2022-12-17 08:38:31
seokhwan-an	https://github.com/seokhwan-an/java-menu.git	seokhwan-an	2022-12-17 04:00:17	2022-12-17 04:00:02	2022-12-17 08:56:00
horsehair	https://github.com/horsehair/java-menu.git	horsehair	2022-12-17 04:00:19	2022-12-17 04:00:02	2022-12-17 08:52:37
JJ503	https://github.com/JJ503/java-menu.git	JJ503	2022-12-17 04:00:12	2022-12-17 04:00:02	2022-12-17 09:15:08
LeeJejune	https://github.com/LeeJejune/java-menu.git	LeeJejune	2022-12-17 04:00:28	2022-12-17 04:00:02	2022-12-17 08:49:40
zeunala	https://github.com/zeunala/java-menu.git	zeunala	2022-12-17 04:00:20	2022-12-17 04:00:02	2022-12-17 08:37:05
ParkJungYoon	https://github.com/ParkJungYoon/java-menu.git	ParkJungYoon	2022-12-17 04:00:08	2022-12-17 08:44:51	2022-12-17 08:44:47
cpot5620	https://github.com/cpot5620/java-menu.git	cpot5620	2022-12-17 04:00:23	2022-12-17 08:35:37	2022-12-17 08:36:36
younghoondoodoom	https://github.com/younghoondoodoom/java-menu.git	younghoondoodoom	2022-12-17 04:00:24	2022-12-17 04:00:02	2022-12-17 08:54:03
parksey	https://github.com/parksey/java-menu.git	parksey	2022-12-17 04:00:15	2022-12-17 04:00:02	2022-12-17 08:54:42
SSuSG	https://github.com/SSuSG/java-menu.git	SSuSG	2022-12-17 04:01:36	2022-12-17 04:00:02	2022-12-17 08:37:12
hanueleee	https://github.com/hanueleee/java-menu.git	hanueleee	2022-12-17 04:00:12	2022-12-17 04:00:02	2022-12-17 08:20:35
CYC0227	https://github.com/CYC0227/java-menu.git	CYC0227	2022-12-17 04:00:11	2022-12-17 04:00:02	2022-12-17 08:37:10
thdwoqor	https://github.com/thdwoqor/java-menu.git	thdwoqor	2022-12-17 04:00:06	2022-12-17 04:00:02	2022-12-17 08:50:20
Jeeseob	https://github.com/Jeeseob/java-menu.git	develop	2022-12-17 04:00:08	2022-12-17 04:00:02	2022-12-17 08:25:59
shinyubin989	https://github.com/shinyubin989/java-menu.git	shinyubin989	2022-12-17 04:00:16	2022-12-17 04:00:02	2022-12-17 08:54:35
HubCreator	https://github.com/HubCreator/java-menu.git	HubCreator	2022-12-17 04:00:13	2022-12-17 08:11:25	2022-12-17 08:20:49
Amenable-C	https://github.com/Amenable-C/java-menu.git	Amenable-C	2022-12-17 04:00:20	2022-12-17 04:00:02	2022-12-17 08:35:48
EUNJEONGMUN	https://github.com/EUNJEONGMUN/java-menu.git	EUNJEONGMUN	2022-12-17 04:00:11	2022-12-17 04:00:02	2022-12-17 08:47:07
Haaae	https://github.com/Haaae/java-menu.git	haaae	2022-12-17 04:00:08	2022-12-17 04:00:02	2022-12-17 08:58:55
cmong0516	https://github.com/cmong0516/java-menu.git	cmong0516	2022-12-17 04:00:12	2022-12-17 04:00:02	2022-12-17 08:51:25
echo724	https://github.com/echo724/java-menu.git	echo724	2022-12-17 04:00:06	2022-12-17 04:00:02	2022-12-17 08:47:26
CFalws	https://github.com/CFalws/java-menu.git	CFalws	2022-12-17 04:05:44	2022-12-17 04:00:02	2022-12-17 08:59:54
moonstal1506	https://github.com/moonstal1506/java-menu.git	moonstal1506	2022-12-17 04:00:18	2022-12-17 04:00:02	2022-12-17 08:54:27
sangeun-b	https://github.com/sangeun-b/java-menu.git	sangeun-b	2022-12-17 04:00:30	2022-12-17 04:00:02	2022-12-17 08:52:25
kogibeom	https://github.com/kogibeom/java-menu.git	kogibeom	2022-12-17 04:02:21	2022-12-17 04:00:02	2022-12-17 08:33:06
shyjnnn	https://github.com/shyjnnn/java-menu.git	shyjnnn	2022-12-17 04:00:20	2022-12-17 04:00:02	2022-12-17 08:57:55
JeonghakLee	https://github.com/JeonghakLee/java-menu.git	JeonghakLee	2022-12-17 04:00:14	2022-12-17 04:00:02	2022-12-17 08:54:34
YoosunMoon	https://github.com/YoosunMoon/java-menu.git	YoosunMoon	2022-12-17 04:00:23	2022-12-17 04:00:02	2022-12-17 08:55:51
wugawuga	https://github.com/wugawuga/java-menu.git	wugawuga	2022-12-17 04:02:51	2022-12-17 04:00:02	2022-12-17 08:48:53
zillionme	https://github.com/zillionme/java-menu.git	zillionme	2022-12-17 04:00:13	2022-12-17 04:00:02	2022-12-17 08:35:26
pdot715	https://github.com/pdot715/java-menu.git	pdot715	2022-12-17 04:00:14	2022-12-17 04:00:02	2022-12-17 08:29:09
kdkdhoho	https://github.com/kdkdhoho/java-menu.git	kdkdhoho	2022-12-17 04:00:15	2022-12-17 08:40:59	2022-12-17 08:53:45
LimHeeSang	https://github.com/LimHeeSang/java-menu.git	LimHeeSang	2022-12-17 04:00:17	2022-12-17 04:00:02	2022-12-17 08:44:34
opuopuo	https://github.com/opuopuo/java-menu.git	opuopuo	2022-12-17 04:00:09	2022-12-17 04:00:02	2022-12-17 14:00:03
cookienc	https://github.com/cookienc/java-menu.git	cookienc	2022-12-17 04:00:13	2022-12-17 04:00:02	2022-12-17 08:56:23
kgpksh	https://github.com/kgpksh/java-menu.git	kgpksh	2022-12-17 04:01:52	2022-12-17 04:00:02	2022-12-17 08:56:09
Egenieee	https://github.com/Egenieee/java-menu.git	egenieee	2022-12-17 04:00:49	2022-12-17 04:00:02	2022-12-17 08:52:47
yeonkkk	https://github.com/yeonkkk/java-menu.git	yeonkkk	2022-12-17 04:00:17	2022-12-17 04:00:02	2022-12-17 08:38:45
Cyma-s	https://github.com/Cyma-s/java-menu.git	Cyma-s	2022-12-17 04:00:15	2022-12-17 04:00:02	2022-12-17 08:53:55
dlwjddn123	https://github.com/dlwjddn123/java-menu.git	dlwjddn123	2022-12-17 04:00:13	2022-12-17 04:00:02	2022-12-17 08:34:19
ShinDongHun1	https://github.com/ShinDongHun1/java-menu.git	ShinDongHun1	2022-12-17 04:01:10	2022-12-17 04:00:02	2022-12-17 08:51:38
hyun-seung	https://github.com/hyun-seung/java-menu.git	hyun-seung	2022-12-17 04:01:43	2022-12-17 08:10:48	2022-12-17 08:57:12
ESeokhwan	https://github.com/ESeokhwan/java-menu.git	ESeokhwan	2022-12-17 04:00:20	2022-12-17 04:00:02	2022-12-17 09:00:01
hgo641	https://github.com/hgo641/java-menu.git	hgo641	2022-12-17 04:00:24	2022-12-17 04:00:02	2022-12-17 08:48:35
kimdahee0815	https://github.com/kimdahee0815/java-menu.git	kimdahee0815	2022-12-17 04:30:20	2022-12-17 04:00:02	2022-12-17 08:59:37
splitube	https://github.com/splitube/java-menu.git	splitube	2022-12-17 04:00:22	2022-12-17 04:00:02	2022-12-17 08:58:20
castlejun-2	https://github.com/castlejun-2/java-menu.git	castlejun-2	2022-12-17 04:00:20	2022-12-17 04:00:02	2022-12-17 08:31:51
dooboocookie	https://github.com/dooboocookie/java-menu.git	dooboocookie	2022-12-17 04:00:15	2022-12-17 04:00:02	2022-12-17 08:55:21
WhalesBob	https://github.com/WhalesBob/java-menu.git	WhalesBob	2022-12-17 04:00:14	2022-12-17 04:00:02	2022-12-17 08:55:19
the9kim	https://github.com/the9kim/java-menu.git	the9kim	2022-12-17 04:00:21	2022-12-17 04:00:02	2022-12-17 08:50:33
ParangBird	https://github.com/ParangBird/java-menu.git	ParangBird	2022-12-17 04:00:26	2022-12-17 04:00:02	2022-12-17 08:14:52
iyk2h	https://github.com/iyk2h/java-menu.git	iyk2h	2022-12-17 04:00:09	2022-12-17 04:00:02	2022-12-17 08:56:38
solesie	https://github.com/solesie/java-menu.git	solesie	2022-12-17 04:00:30	2022-12-17 04:00:02	2022-12-17 08:26:42
MoonJeWoong	https://github.com/MoonJeWoong/java-menu.git	MoonJeWoong	2022-12-17 04:00:22	2022-12-17 04:00:02	2022-12-17 08:50:32
Cl8D	https://github.com/Cl8D/java-menu.git	Cl8D	2022-12-17 04:00:16	2022-12-17 04:00:02	2022-12-17 08:55:32
kpeel5839	https://github.com/kpeel5839/java-menu.git	kpeel5839	2022-12-17 04:00:10	2022-12-17 04:00:02	2022-12-17 08:33:04
jundonghyuk	https://github.com/jundonghyuk/java-menu.git	jundonghyuk	2022-12-17 04:00:21	2022-12-17 04:39:26	2022-12-17 08:31:51
green-kong	https://github.com/green-kong/java-menu.git	green-kong	2022-12-17 04:00:15	2022-12-17 04:00:02	2022-12-17 08:47:40
iamminho	https://github.com/iamminho/java-menu.git	iamminho	2022-12-17 04:00:09	2022-12-17 04:00:02	2022-12-17 08:31:34
bjk1649	https://github.com/bjk1649/java-menu.git	bjk1649	2022-12-17 04:00:09	2022-12-17 04:00:02	2022-12-17 08:52:33
TaeyeonRoyce	https://github.com/TaeyeonRoyce/java-menu.git	TaeyeonRoyce	2022-12-17 04:00:12	2022-12-17 04:00:02	2022-12-17 08:45:02
kwYoohae	https://github.com/kwYoohae/java-menu.git	kwYoohae	2022-12-17 04:00:13	2022-12-17 04:00:02	2022-12-17 08:48:32
parkmuhyeun	https://github.com/parkmuhyeun/java-menu.git	parkmuhyeun	2022-12-17 04:00:07	2022-12-17 04:00:02	2022-12-17 08:42:32
VicReznov	https://github.com/VicReznov/java-menu.git	VicReznov	2022-12-17 04:00:23	2022-12-17 06:03:02	2022-12-17 08:54:10
LHS-11	https://github.com/LHS-11/java-menu.git	LHS-11	2022-12-17 04:00:16	2022-12-17 04:00:02	2022-12-17 08:52:33
hum02	https://github.com/hum02/java-menu.git	hum02	2022-12-17 04:00:14	2022-12-17 04:00:02	2022-12-17 08:48:14
sonsoowon	https://github.com/sonsoowon/java-menu.git	sonsoowon	2022-12-17 04:00:09	2022-12-17 04:00:02	2022-12-17 08:48:19
aksmf1442	https://github.com/aksmf1442/java-menu.git	aksmf1442	2022-12-17 04:00:06	2022-12-17 04:00:02	2022-12-17 08:37:43
wkdghdwns199	https://github.com/wkdghdwns199/java-menu.git	main	2022-12-17 04:00:18	2022-12-17 08:32:32	2022-12-17 08:53:00
juhee77	https://github.com/juhee77/java-menu.git	juhee77	2022-12-17 04:00:29	2022-12-17 04:00:02	2022-12-17 08:46:14
junbeom-Son	https://github.com/junbeom-Son/java-menu.git	junbeom-Son	2022-12-17 04:00:21	2022-12-17 04:00:02	2022-12-17 08:38:49
PgmJun	https://github.com/PgmJun/java-menu.git	PgmJun	2022-12-17 04:00:25	2022-12-17 04:00:02	2022-12-17 08:32:56
miseongk	https://github.com/miseongk/java-menu.git	miseongk	2022-12-17 04:01:35	2022-12-17 04:00:02	2022-12-17 08:51:44
bmong4mong0318	https://github.com/bmong4mong0318/java-menu.git	bmong4mong0318	2022-12-17 04:00:13	2022-12-17 04:00:02	2022-12-17 08:58:22
odo27	https://github.com/odo27/java-menu.git	odo27	2022-12-17 04:00:18	2022-12-17 04:00:02	2022-12-17 08:56:22
somsom13	https://github.com/somsom13/java-menu.git	somsom13	2022-12-17 04:00:17	2022-12-17 04:00:02	2022-12-17 08:41:15
saint6839	https://github.com/saint6839/java-menu.git	saint6839	2022-12-17 04:00:13	2022-12-17 04:00:02	2022-12-17 08:32:31
GIVEN53	https://github.com/GIVEN53/java-menu.git	GIVEN53	2022-12-17 04:00:12	2022-12-17 04:00:02	2022-12-17 08:56:32
BGuga	https://github.com/BGuga/java-menu.git	BGuga	2022-12-17 04:00:17	2022-12-17 04:00:02	2022-12-17 08:25:26
eun-byeol	https://github.com/eun-byeol/java-menu.git	eun-byeol	2022-12-17 04:00:12	2022-12-17 04:00:02	2022-12-17 08:59:15
Choi-JJunho	https://github.com/Choi-JJunho/java-menu.git	Choi-JJunho	2022-12-17 04:00:16	2022-12-17 04:00:02	2022-12-17 08:50:44
signalman	https://github.com/signalman/java-menu.git	signalman	2022-12-17 04:00:24	2022-12-17 04:00:02	2022-12-17 08:54:22
Jeongho0805	https://github.com/Jeongho0805/java-menu.git	Jeongho0805	2022-12-17 04:00:48	2022-12-17 04:00:02	2022-12-17 08:30:43
tjdtls690	https://github.com/tjdtls690/java-menu.git	tjdtls690	2022-12-17 04:00:09	2022-12-17 04:00:02	2022-12-17 08:56:38
soyunim	https://github.com/soyunim/java-menu.git	soyunim	2022-12-17 04:17:58	2022-12-17 04:00:02	2022-12-17 08:52:47
waterricecake	https://github.com/waterricecake/java-menu.git	waterricecake	2022-12-17 04:09:19	2022-12-17 04:00:02	2022-12-17 08:58:26
kokodak	https://github.com/kokodak/java-menu.git	kokodak	2022-12-17 04:00:17	2022-12-17 04:00:02	2022-12-17 08:49:24
mcodnjs	https://github.com/mcodnjs/java-menu.git	mcodnjs	2022-12-17 04:00:30	2022-12-17 04:00:02	2022-12-17 08:54:09
jojaeng2	https://github.com/jojaeng2/java-menu.git	jojaeng2	2022-12-17 04:00:30	2022-12-17 04:00:02	2022-12-17 08:48:37
great-park	https://github.com/great-park/java-menu.git	great-park	2022-12-17 04:00:30	2022-12-18 15:39:04	2022-12-17 08:53:06
Hyeonjae-K	https://github.com/Hyeonjae-K/java-menu.git	Hyeonjae-K	2022-12-17 04:01:05	2022-12-17 04:00:02	2022-12-17 08:15:04
pilyang	https://github.com/pilyang/java-menu.git	pilyang	2022-12-17 04:00:40	2022-12-17 04:00:02	2022-12-17 08:51:35
woosung1223	https://github.com/woosung1223/java-menu.git	woosung1223	2022-12-17 04:00:31	2022-12-17 04:00:02	2022-12-17 08:27:28
Combi153	https://github.com/Combi153/java-menu.git	Combi153	2022-12-17 04:00:18	2022-12-17 04:00:02	2022-12-17 08:59:49
reddevilmidzy	https://github.com/reddevilmidzy/java-menu.git	reddevilmidzy	2022-12-17 04:00:21	2022-12-17 04:00:02	2022-12-17 08:53:57
amaran-th	https://github.com/amaran-th/java-menu.git	amaran-th	2022-12-17 04:00:11	2022-12-17 04:00:02	2022-12-17 08:43:00
JoSihun	https://github.com/JoSihun/java-menu.git	JoSihun	2022-12-17 04:01:27	2022-12-17 04:00:02	2022-12-17 08:52:31
0chil	https://github.com/0chil/java-menu.git	main	2022-12-17 04:00:12	2022-12-17 08:31:18	2022-12-17 08:45:25
kevstevie	https://github.com/kevstevie/java-menu.git	kevstevie	2022-12-17 04:00:19	2022-12-17 04:00:02	2022-12-17 08:34:16
HiiWee	https://github.com/HiiWee/java-menu.git	HiiWee	2022-12-17 04:00:16	2022-12-17 04:00:02	2022-12-17 10:19:06
Jaeyoung222	https://github.com/Jaeyoung222/java-menu.git	Jaeyoung222	2022-12-17 04:00:09	2022-12-17 04:00:02	2022-12-17 08:56:08
Kim0914	https://github.com/Kim0914/java-menu.git	Kim0914	2022-12-17 04:00:08	2022-12-17 04:00:02	2022-12-17 08:47:32
hectick	https://github.com/hectick/java-menu.git	hectick	2022-12-17 04:00:16	2022-12-17 05:10:35	2022-12-17 08:45:37
java-saeng	https://github.com/java-saeng/java-menu.git	java-saeng	2022-12-17 04:00:14	2022-12-17 04:00:02	2022-12-17 08:51:59
chosunghyun18	https://github.com/chosunghyun18/java-menu.git	chosunghyun18	2022-12-17 04:00:15	2022-12-17 04:22:19	2022-12-17 08:58:40
skydreamer21	https://github.com/skydreamer21/java-menu.git	skydreamer21	2022-12-17 04:00:17	2022-12-17 08:40:45	2022-12-17 08:52:45
jjongwa	https://github.com/jjongwa/java-menu.git	jjongwa	2022-12-17 04:00:10	2022-12-17 04:00:02	2022-12-17 08:37:49
eunkeeee	https://github.com/eunkeeee/java-menu.git	eunkeeee	2022-12-17 04:00:12	2022-12-17 04:00:02	2022-12-17 08:51:10
bumstead-bumstead	https://github.com/bumstead-bumstead/java-menu.git	bumstead-bumstead	2022-12-17 04:00:09	2022-12-17 04:00:02	2022-12-17 08:30:08
carsago	https://github.com/carsago/java-menu.git	carsago	2022-12-17 04:00:10	2022-12-17 04:00:02	2022-12-17 08:56:19
iamjooon2	https://github.com/iamjooon2/java-menu.git	iamjooon2	2022-12-17 04:00:10	2022-12-17 04:00:02	2022-12-17 08:58:43
dlwnsgus07	https://github.com/dlwnsgus07/java-menu.git	dlwnsgus07	2022-12-17 04:00:18	2022-12-17 04:00:02	2022-12-17 08:34:08
JuSeong1130	https://github.com/JuSeong1130/java-menu.git	JuSeong1130	2022-12-17 04:00:15	2022-12-17 04:00:02	2022-12-17 08:52:50
drunkenhw	https://github.com/drunkenhw/java-menu.git	drunkenhw	2022-12-17 04:00:05	2022-12-17 04:00:02	2022-12-17 08:52:17
be-student	https://github.com/be-student/java-menu.git	be-student	2022-12-17 04:00:09	2022-12-17 04:00:02	2022-12-17 08:50:41
seocho507	https://github.com/seocho507/java-menu.git	seocho507	2022-12-17 04:01:10	2022-12-17 04:00:02	2022-12-17 08:30:52
hong-sile	https://github.com/hong-sile/java-menu.git	hong-sile	2022-12-17 04:00:54	2022-12-17 04:00:02	2022-12-17 08:59:26
khabh	https://github.com/khabh/java-menu.git	khabh	2022-12-17 04:00:15	2022-12-17 04:00:02	2022-12-17 08:30:58
xxeol2	https://github.com/xxeol2/java-menu.git	xxeol2	2022-12-17 04:00:11	2022-12-17 04:00:02	2022-12-17 13:07:08
swonny	https://github.com/swonny/java-menu.git	swonny	2022-12-17 04:00:09	2022-12-17 04:00:02	2022-12-17 08:55:21
Longstick0	https://github.com/Longstick0/java-menu.git	longstick0	2022-12-17 04:00:27	2022-12-17 04:06:11	2022-12-17 08:58:44
yummygyudon	https://github.com/yummygyudon/java-menu.git	yummygyudon	2022-12-17 04:01:15	2022-12-17 04:00:02	2022-12-17 08:45:54
wonyongChoi05	https://github.com/wonyongChoi05/java-menu.git	wonyongChoi05	2022-12-17 04:02:23	2022-12-17 05:06:58	2022-12-17 08:30:07
wnsgml7267	https://github.com/wnsgml7267/java-menu.git	wnsgml7267	2022-12-17 04:01:20	2022-12-17 04:00:02	2022-12-17 08:54:40
70825	https://github.com/70825/java-menu.git	70825	2022-12-17 04:00:05	2022-12-17 08:30:54	2022-12-17 08:30:34
youngh0	https://github.com/youngh0/java-menu.git	youngh0	2022-12-17 04:00:14	2022-12-17 04:00:02	2022-12-18 04:58:39
Ohjintaek	https://github.com/Ohjintaek/java-menu.git	Ohjintaek	2022-12-17 04:00:20	2022-12-17 04:00:02	2022-12-17 08:21:51
jeomxon	https://github.com/jeomxon/java-menu.git	jeomxon	2022-12-17 04:00:15	2022-12-17 04:00:02	2022-12-17 08:51:49
jung-woo-kim	https://github.com/jung-woo-kim/java-menu.git	jung-woo-kim	2022-12-17 04:00:16	2022-12-17 04:00:02	2022-12-17 08:20:12
yenawee	https://github.com/yenawee/java-menu.git	yenawee	2022-12-17 04:00:49	2022-12-17 04:00:02	2022-12-17 08:07:16
kong-hana01	https://github.com/kong-hana01/java-menu.git	main	2022-12-17 04:00:20	2022-12-17 08:30:41	2022-12-17 08:54:24
ShinjaeKwon	https://github.com/ShinjaeKwon/java-menu.git	ShinjaeKwon	2022-12-17 04:00:11	2022-12-17 08:00:07	2022-12-17 08:27:25
rawfishthelgh	https://github.com/rawfishthelgh/java-menu.git	rawfishthelgh	2022-12-17 04:00:16	2022-12-17 04:00:02	2022-12-17 08:30:34
ezzanzzan	https://github.com/ezzanzzan/java-menu.git	ezzanzzan	2022-12-17 04:00:33	2022-12-17 04:00:02	2022-12-17 08:26:09
sunwng	https://github.com/sunwng/java-menu.git	sunwng	2022-12-17 04:01:30	2022-12-17 04:00:02	2022-12-17 07:46:11
khsrla9806	https://github.com/khsrla9806/java-menu.git	kimhunsope	2022-12-17 04:00:31	2022-12-17 04:00:02	2022-12-17 08:14:12
This2sho	https://github.com/This2sho/java-menu.git	This2sho	2022-12-17 04:00:10	2022-12-17 04:00:02	2022-12-17 08:23:28
greeng00se	https://github.com/greeng00se/java-menu.git	greeng00se	2022-12-17 04:00:06	2022-12-17 04:00:02	2022-12-17 08:19:34
eunbii0213	https://github.com/eunbii0213/java-menu.git	eunbii0213	2022-12-17 04:00:09	2022-12-17 04:12:12	2022-12-17 08:50:10
nuyh99	https://github.com/nuyh99/java-menu.git	nuyh99	2022-12-17 04:00:16	2022-12-17 04:00:02	2022-12-17 08:19:04
